# from H. Marshall email 27 April 2007
#
#Optical depths as of 2002.69
#     Energy      Carbon       Oxygen       Fluorine     Fluffium
#                   0.02         0.20        0.10         0.20
      1.84511    0.0154036   0.00359252   0.00346824    0.0143319
      1.85489    0.0151721   0.00350610   0.00337444    0.0140922
      1.86468    0.0149406   0.00341968   0.00328538    0.0138525
      1.87447    0.0147090   0.00333326   0.00319633    0.0136127
      1.88426    0.0144818   0.00324684   0.00310728    0.0133730
      1.89405    0.0142700   0.00316254   0.00301822    0.0131333
      1.90384    0.0140581   0.00308047   0.00293285    0.0129048
      1.91363    0.0138463   0.00299841   0.00284872    0.0126801
      1.92342    0.0136345   0.00291634   0.00276458    0.0124554
      1.93321    0.0134358   0.00283428   0.00268045    0.0122307
      1.94300    0.0132417   0.00275602   0.00259716    0.0120060
      1.95279    0.0130476   0.00267787   0.00251727    0.0117813
      1.96258    0.0128535   0.00259973   0.00243738    0.0115648
      1.97237    0.0126601   0.00252158   0.00235749    0.0113530
      1.98216    0.0124803   0.00244427   0.00227849    0.0111412
      1.99195    0.0123006   0.00236960   0.00220228    0.0109295
      2.00174    0.0121208   0.00229492   0.00212607    0.0107177
      2.01153    0.0119411   0.00222025   0.00204987    0.0105059
      2.02132    0.0117613   0.00214596   0.00197409    0.0103053
      2.03111    0.0115816   0.00207440   0.00190136    0.0101052
      2.04090    0.0114018   0.00200284   0.00182863   0.00990513
      2.05069    0.0112220   0.00193128   0.00175591   0.00970503
      2.06048    0.0110423   0.00185971   0.00168318   0.00950493
      2.07027    0.0108719   0.00179066   0.00161294   0.00930484
      2.08006    0.0107035   0.00172212   0.00154321   0.00911479
      2.08985    0.0105350   0.00165358   0.00147348   0.00892525
      2.09964    0.0103665   0.00158504   0.00140444   0.00873571
      2.10943    0.0101981   0.00151746   0.00133726   0.00854616
      2.11922    0.0100296   0.00145157   0.00127009   0.00835662
      2.12901   0.00986117   0.00138569   0.00120291   0.00816995
      2.13880   0.00969897   0.00131981   0.00113700   0.00799907
      2.14859   0.00954123   0.00125543   0.00107199   0.00785409
      2.15838   0.00938350   0.00119189   0.00100699   0.00771831
      2.16817   0.00922576   0.00112834  0.000943302   0.00758253
      2.17796   0.00906802   0.00106480  0.000880095   0.00744675
      2.18775   0.00891029   0.00100284  0.000816887   0.00731097
      2.19754   0.00875255  0.000941297  0.000755102   0.00717518
      2.20733   0.00860213  0.000879752  0.000693648   0.00703940
      2.21712   0.00845333  0.000819563  0.000632195   0.00690987
      2.22691   0.00830452  0.000759671  0.000571896   0.00678172
      2.23670   0.00815571  0.000699781  0.000511870   0.00665356
      2.24649   0.00800691  0.000640968  0.000452688   0.00652541
      2.25628   0.00785810  0.000582491  0.000393769   0.00639725
      2.26607   0.00771481  0.000524756  0.000335613   0.00626910
